SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2210.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2210_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2212.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2212_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2217.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2217_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2220.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2220_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2221.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2221_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2225.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2225_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2230.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2230_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2231.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2231_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2232.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2232_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2234.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2234_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2235.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2236.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2236_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2240.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2251.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2251_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2252.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2255.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2255_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2261.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2261_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2262.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2263.tif,8,16
